Student,Image Name,Canny Edge,Sobel Edge,HOG Features,Endpoints,Thickness,Curvature,Percentage Black Pixels,Percentage White Pixels,Line Irregularity,LBP Mean
student_20,w0020_s01_pLND_r01.png,3.3508027589584617,394.75643952429766,0.0272047230956674,79983,647.2985,0.5089527504882688,0.0,100.0,366.2843136144381,0.0272060544995938
student_20,w0020_s01_pLND_r03.png,3.5042908417091594,412.1446073483279,0.0286440257809346,88707,516.36206,0.5376171387590323,0.0,100.0,228.5839480355088,0.028645186950813
student_20,w0020_s01_pLND_r02.png,3.649694294519133,429.8936846970691,0.0297921583573998,93627,286.02844,0.5320070395894833,0.0,100.0,281.9219888292985,0.0297931837314807
student_4,w0004_s01_pLND_r02.png,3.696519647478958,444.63085000274106,0.0339042912827587,119882,151.80025,0.5057790932927942,7.28,92.72,83.46376829070175,0.0339048302928242
student_4,w0004_s01_pLND_r03.png,4.568527639520771,553.2037831417083,0.0411429987124707,137759,65.70901,0.4946517128937104,8.27,91.73,45.12544293411423,0.0411426815617855
student_4,w0004_s01_pLND_r01.png,3.868820541872172,472.8888135172838,0.0367540638659591,117510,288.65768,0.4823213255545925,2.04,97.96,168.60127662229624,0.0367542658181371
student_34,w0034_s01_pLND_r02.png,2.128913704857819,253.9476542837601,0.0196171312256616,83985,475.46573,0.4902786455875817,0.0,100.0,222.0498452622558,0.0196193600547725
student_34,w0034_s01_pLND_r03.png,2.1211093036149657,253.3181959329814,0.0193760073946503,80864,443.8785,0.4999952376249765,0.0,100.0,209.1856475972492,0.0193782519184366
student_34,w0034_s01_pLND_r01.png,1.8945766843116825,225.26568261509007,0.0175918982733293,71504,646.8571,0.492267313411548,0.0,100.0,328.4852925108782,0.0175943526144556
student_23,w0023_s01_pLND_r03.png,3.708749671149669,439.3759103962514,0.0331359014807181,103978,427.7512,0.5597484906536522,0.0,100.0,174.2058684462529,0.0331365313723665
student_23,w0023_s01_pLND_r02.png,3.419716219402695,406.0568754198226,0.0312405719790998,95574,509.95334,0.5487506338633027,0.0,100.0,199.07726369531807,0.0312414260415335
student_23,w0023_s01_pLND_r01.png,2.8591996802915363,337.78688776025143,0.026332009816821,90642,672.13904,0.5574191680963901,0.0,100.0,256.6369490155305,0.0263334444412274
student_22,w0022_s01_pLND_r02.png,3.589540170262106,419.9931895853748,0.0307284660844526,92000,474.25378,0.5273877980245335,0.0,100.0,295.53827057956914,0.030729380716397
student_22,w0022_s01_pLND_r03.png,4.870293377676609,570.9619797922127,0.0413967780930218,120611,207.16096,0.5149879848024708,4.73,95.27,114.13808227822332,0.0413964309264882
student_22,w0022_s01_pLND_r01.png,3.9783880834842233,466.8657116562885,0.0344414231819081,106946,346.91446,0.535805611587226,1.84,98.16,172.99648455572458,0.034441898662503
